店名 ,住所,電話,営業時間,Webサイト,メモ
旨し酒　風丹,兵庫県伊丹市西台4-1-1古東ビ-ル1階,TEL：072-778-1283,17時から25時,,定休日:毎週火曜日
DABADA,兵庫県伊丹市中央1-5-5ボントンビル1F,TEL：072-772-5101,19:00～24:００,https://dabadabar.com,定休日:日祝日（イベント営業除く）
ミスタードーナツイオンモール伊丹昆陽店,兵庫県伊丹市池尻4丁目1-1,TEL：072-744-2758,10：00～21：00,,定休日:なし
炭火焼鳥専門店　あみや　伊丹店,兵庫県伊丹市中央1-5-18,TEL：072-778-6814,"17：00～3：00（ラストオーダー2:00)
※営業時間を変更している場合がございます。",https://www.yakitori-amiya.co.jp,定休日:無し（年末年始等）
立呑処つるつるいっぱい,兵庫県伊丹市東有岡1丁目18番地13サン伊丹駅前ハイツA棟H,TEL：090-3727-1721,17時～23時,https://itami-city.jp/shop/00000315781/,定休日:毎週日曜日、祝日
野乃鳥　備丹蔵,兵庫県伊丹市西台1-2-6山本不動産第2ビル1F-A,TEL：072-779-7342,"ランチ　12:00～14:00
ディナー　17:00～23:00
（L.O.22:30）",https://nonotory.jp/stores/bintangura/,定休日:毎週月曜日、第3火曜日
創作料理　かんな月,兵庫県伊丹市伊丹4丁目1-20カンナ月,TEL：072-772-3339,"11：30～14：30
17：00～22：00",http://kannazuki.jp/,定休日:毎週月曜日　第三火曜日
錦わらい　伊丹野間北店,兵庫県伊丹市野間北2-2-8,TEL：072-773-7511,11:30~23:00,,定休日:不定休
酒と肴　くわばら,兵庫県伊丹市西台2丁目4-10渡辺ビル1F,TEL：072-783-1100,17時30分から24時まで,,定休日:毎週日曜日　祝日
イオンモール伊丹昆陽店,兵庫県伊丹市池尻4丁目イオンモ-ル伊丹昆陽店,TEL：072-787-8872,11時～21時,,定休日:なし
すし一流　伊丹店,兵庫県伊丹市昆陽6-124-1,TEL：072-788-3001,"11：00～22：00
※ラストオーダー 21：30",https://www.bms-inc.co.jp/bms/franchise/shop.htm?L=BCSDetail&SF=1&ID=A70315495484,定休日:年中無休
もんじゃ焼き　ののの伊丹池尻店,兵庫県伊丹市池尻3-2-1,TEL：072-772-4900,"平日　17：00ー23：00
土日祝11：30－23：00",,定休日:木曜日
とんかつ　かつ楽　伊丹店,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽4F,TEL：072-778-9262,11時から22時,http://hallo-g.com,定休日:不定休
十割そばと酒肴　しおさき,兵庫県伊丹市中央5-4-35,TEL：072-778-4032,"[昼]11:30～14:30（フードL.O.14:00）                     
[夜]18:00～22:00（フードL.O.21:00）",,定休日:毎週火曜日、第1・第3水曜日
居酒屋そるてぃぼんぼん,兵庫県伊丹市山田5-1-38,TEL：072-784-1223,17時から25時(ラストオーダー0時),https://saltybonbon.therestaurant.jp/,定休日:毎週月曜日
すし処 味彩,兵庫県伊丹市鴻池3-14-9,TEL：072-784-3455,"11時〜14時
17時〜21時30分 
ラストオーダー21時",http://www.eonet.ne.jp/~sushi-ajisai/,定休日:毎週水曜日
玄品　伊丹,兵庫県伊丹市中央1-8-17大楽ビル1F,TEL：072-772-3229,17:00-23:00,https://www.tettiri.com/shop/guenpin-itami/,定休日:月曜定休
にぎり長次郎伊丹店,兵庫県伊丹市瑞穂町2丁目22番,TEL：072-744-2271,平日11:00～15:15/16:45～22:30　土日祝11:00～22:30,https://www.chojiro.jp/shop/shop.php?id=63,定休日:年中無休
